ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
500
ITEM: BOX BOUNDS pp pp pp
0 100
0 100
0 100
ITEM: ATOMS id x y z 
446 97.7861 23.6465 75.212 
447 97.248 23.7168 75.093 
448 96.71 23.7872 74.974 
449 96.1719 23.8576 74.855 
450 95.6338 23.9279 74.736 
451 43.4208 99.635 45.2971 
452 43.9098 99.8175 45.1067 
453 44.3987 0.000122425 44.9164 
454 44.8877 0.182697 44.726 
455 45.3766 0.365272 44.5356 
456 45.8656 0.547847 44.3453 
457 46.3545 0.730422 44.1549 
458 46.8435 0.912997 43.9646 
459 47.3324 1.09557 43.7742 
460 47.8214 1.27815 43.5839 
461 48.5683 73.5613 82.651 
462 48.7186 74.0959 82.6356 
463 48.869 74.6305 82.6202 
464 49.0194 75.1651 82.6047 
465 49.1698 75.6997 82.5893 
466 49.3201 76.2343 82.5739 
467 49.4705 76.7689 82.5584 
468 49.6209 77.3035 82.543 
469 49.7712 77.8381 82.5276 
470 49.9216 78.3727 82.5122 
471 6.95715 2.45822 16.8639 
472 7.48433 2.58632 16.9835 
473 8.01151 2.71442 17.1031 
474 8.53869 2.84252 17.2228 
475 9.06588 2.97062 17.3424 
476 9.59306 3.09872 17.462 
477 10.1202 3.22682 17.5817 
478 10.6474 3.35492 17.7013 
479 11.1746 3.48301 17.8209 
480 11.7018 3.61111 17.9406 
481 5.67654 65.916 26.6479 
482 6.20491 65.9344 26.4772 
483 6.73328 65.9529 26.3066 
484 7.26166 65.9714 26.1359 
485 7.79003 65.9898 25.9652 
486 8.3184 66.0083 25.7946 
487 8.84677 66.0267 25.6239 
488 9.37514 66.0452 25.4532 
489 9.90351 66.0636 25.2826 
490 10.4319 66.0821 25.1119 
491 78.3469 80.7002 67.726 
492 77.8416 80.5931 67.5215 
493 77.3363 80.486 67.317 
494 76.8309 80.379 67.1125 
495 76.3256 80.2719 66.9079 
496 75.8203 80.1648 66.7034 
497 75.315 80.0577 66.4989 
498 74.8097 79.9507 66.2944 
499 74.3043 79.8436 66.0899 
500 73.799 79.7365 65.8854 
